,State,Population,Area (km2),Pop. density,Urban pop.(%),Bumiputra (%),Chinese (%),Indian (%)
0,Johor,3348283.0,19210.0,174.0,71.9,58.9,33.6,7.1
1,Kedah,1890098.0,9500.0,199.0,64.6,77.9,13.6,7.3
2,Kelantan,1459994.0,15099.0,97.0,42.4,95.7,3.4,0.3
3,Malacca,788706.0,1664.0,470.0,86.5,66.9,26.4,6.2
4,Negeri Sembilan,997071.0,6686.0,150.0,66.5,61.3,23.2,15.2
5,Pahang,1443365.0,36137.0,40.0,50.5,79.0,16.2,4.4
6,Penang,1520143.0,1048.0,1500.0,90.8,43.6,45.6,10.4
7,Perak,2258428.0,21035.0,110.0,69.7,57.0,30.4,12.2
8,Perlis,227025.0,821.0,280.0,51.4,88.4,8.0,1.2
9,Selangor,5411324.0,8104.0,670.0,91.4,57.1,28.6,13.5
10,Terengganu,1015776.0,13035.0,69.0,59.1,97.0,2.6,0.2
11,Sabah,3117405.0,73631.0,42.0,54.0,84.8,12.8,0.3
12,Sarawak,2420009.0,124450.0,19.0,53.8,74.8,24.5,0.3
13,Kuala Lumpur,1627172.0,243.0,6891.0,100.0,45.9,43.2,10.3
14,Labuan,86908.0,91.0,950.0,82.3,83.7,13.4,0.9
15,Putrajaya,67964.0,49.0,1400.0,100.0,98.0,0.7,1.2
